trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-59.73162239358748,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",35,0,-194.8169291527808,"{0: 22, 1: 4, 2: 4, 3: 2, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,5,6.9107355636329615,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-86.40833458809651,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-114.81024339250354,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-59.40792476563749,"{0: 24, 1: 3, 2: 1, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-64.32841152790607,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,12,-9.8124299772208,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,3,-54.7044542195333,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-60.684524837536046,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-51.52574388171589,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-37.610881601644735,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-33.60915749038138,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,16.797664134818316,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-34.410772262431756,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-72.02122778190676,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,16,14.248788090458271,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,8,-54.22302912757561,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,34.14760738169845,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,5,3.766838135225731,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,0,36.00274898618,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,13,-64.55536934989745,"{0: 4, 1: 0, 2: 1, 3: 1, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",20,0,33.752426421562866,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,4,-53.71451931794705,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",20,0,9.094087622776263,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,7,23.985085109744787,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,5,8.40671035938404,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,0,25.5633855474125,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",25,6,31.843304886792964,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,2,30.211696829277813,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
