trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 0.995}",25,0,-96.49281739889295,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
2,False,"{'a': 0.3, 'e': 0.990025}",20,0,-133.64648313650605,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.3, 'e': 0.985074875}",30,0,-196.08997894426068,"{0: 15, 1: 6, 2: 6, 3: 0, 4: 3}",0
4,False,"{'a': 0.3, 'e': 0.9801495006250001}",25,0,-216.29752238779665,"{0: 10, 1: 4, 2: 7, 3: 1, 4: 3}",0
5,False,"{'a': 0.3, 'e': 0.9752487531218751}",25,4,-39.838964952008354,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 0}",1
6,False,"{'a': 0.3, 'e': 0.9703725093562657}",25,0,-249.15629193796798,"{0: 9, 1: 7, 2: 4, 3: 1, 4: 4}",0
7,False,"{'a': 0.3, 'e': 0.9655206468094844}",20,4,-69.74201236428077,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 1}",1
8,False,"{'a': 0.3, 'e': 0.960693043575437}",25,0,-55.16818658967889,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
9,False,"{'a': 0.3, 'e': 0.9558895783575597}",25,0,-214.4940834792299,"{0: 10, 1: 4, 2: 7, 3: 1, 4: 3}",0
10,False,"{'a': 0.3, 'e': 0.9511101304657719}",35,0,-106.49211244516705,"{0: 24, 1: 4, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.3, 'e': 0.946354579813443}",25,0,-126.44066258670388,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
12,False,"{'a': 0.3, 'e': 0.9416228069143757}",25,0,-58.76336575478783,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
13,False,"{'a': 0.3, 'e': 0.9369146928798039}",30,0,-215.01572243741242,"{0: 16, 1: 4, 2: 5, 3: 2, 4: 3}",0
14,False,"{'a': 0.3, 'e': 0.9322301194154049}",30,0,-241.49386417671425,"{0: 14, 1: 3, 2: 8, 3: 2, 4: 3}",0
