trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-193.00652882246533,"{0: 7, 1: 2, 2: 5, 3: 5, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-100.2468912447002,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-142.41715725631096,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-264.50201714061075,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 5}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-116.09779378405405,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.393633866298,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-241.94263061397623,"{0: 16, 1: 2, 2: 7, 3: 1, 4: 4}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-121.36150008717335,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-129.13451654306942,"{0: 12, 1: 5, 2: 6, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-204.72795476747004,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 4}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-81.57625133876542,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-172.17220068283785,"{0: 13, 1: 5, 2: 4, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-166.26381230655542,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,5,-17.265922678919946,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",1
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-141.1492627704147,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,4,-53.463642374481886,"{0: 9, 1: 3, 2: 3, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-186.67278182486663,"{0: 12, 1: 2, 2: 7, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-110.32039360560502,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-180.93750496573838,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-131.50240313852382,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-90.93650196165859,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",35,0,-74.0614834438061,"{0: 24, 1: 3, 2: 7, 3: 1, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-118.45367758758616,"{0: 15, 1: 0, 2: 9, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-56.29762050471909,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-92.94633130784833,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",35,0,-113.79946652065672,"{0: 20, 1: 5, 2: 9, 3: 1, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-124.43833784802503,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-101.37969817384045,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-123.3235237774355,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-131.34617002258918,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
